,city,dispatch_date,slot,num_rider_id,orders,awb_pay,cpo
691,Bangalore,2024-04-04,morning,4513,7,266,38.0
692,Bangalore,2024-04-04,morning,4537,51,2018,39.568627450980394
693,Bangalore,2024-04-04,morning,4538,41,1678,40.926829268292686
694,Bangalore,2024-04-04,morning,4540,21,838,39.904761904761905
695,Bangalore,2024-04-04,morning,4581,60,2190,36.5
696,Bangalore,2024-04-04,morning,4610,62,2215,35.725806451612904
697,Bangalore,2024-04-04,morning,4673,14,686,49.0
698,Bangalore,2024-04-04,morning,4681,50,2020,40.4
699,Bangalore,2024-04-04,morning,4723,15,570,38.0
700,Bangalore,2024-04-04,morning,4728,19,722,38.0
701,Bangalore,2024-04-04,morning,4804,36,1448,40.22222222222222
702,Bangalore,2024-04-04,morning,4832,37,1295,35.0
703,Bangalore,2024-04-04,morning,4874,53,1945,36.698113207547166
704,Bangalore,2024-04-04,morning,4960,21,798,38.0
705,Bangalore,2024-04-04,morning,5041,18,666,37.0
706,Bangalore,2024-04-04,morning,5043,21,693,33.0
707,Bangalore,2024-04-04,morning,5044,20,540,27.0
708,Bangalore,2024-04-04,morning,5045,15,690,46.0
709,Bangalore,2024-04-04,morning,5055,7,266,38.0
710,Bangalore,2024-04-04,morning,5100,2,92,46.0
711,Bangalore,2024-04-04,morning,5114,24,768,32.0
712,Bangalore,2024-04-04,morning,5163,23,690,30.0
713,Bangalore,2024-04-04,morning,5194,21,798,38.0
714,Bangalore,2024-04-04,morning,5204,16,688,43.0
715,Bangalore,2024-04-04,morning,5206,36,1408,39.111111111111114
716,Bangalore,2024-04-04,morning,5210,22,876,39.81818181818182
717,Bangalore,2024-04-04,morning,5289,28,868,31.0
718,Bangalore,2024-04-04,morning,5292,8,304,38.0
719,Bangalore,2024-04-04,morning,5302,20,680,34.0
720,Bangalore,2024-04-04,morning,5333,64,2375,37.109375
721,Bangalore,2024-04-04,morning,5335,47,1735,36.91489361702128
722,Bangalore,2024-04-05,evening,1016,36,1034,28.72222222222222
723,Bangalore,2024-04-05,evening,1431,23,759,33.0
724,Bangalore,2024-04-05,evening,1586,1,27,27.0
725,Bangalore,2024-04-05,evening,1813,12,465,38.75
726,Bangalore,2024-04-05,evening,1833,8,768,96.0
727,Bangalore,2024-04-05,evening,1845,13,545,41.92307692307692
728,Bangalore,2024-04-05,evening,1860,33,825,25.0
729,Bangalore,2024-04-05,evening,1875,14,490,35.0
730,Bangalore,2024-04-05,evening,1914,13,364,28.0
731,Bangalore,2024-04-05,evening,1916,8,720,90.0
732,Bangalore,2024-04-05,evening,1955,25,900,36.0
733,Bangalore,2024-04-05,evening,1967,23,757,32.91304347826087
734,Bangalore,2024-04-05,evening,2094,10,400,40.0
735,Bangalore,2024-04-05,evening,2191,1,27,27.0
736,Bangalore,2024-04-05,evening,2228,26,804,30.923076923076923
737,Bangalore,2024-04-05,evening,2251,33,1245,37.72727272727273
738,Bangalore,2024-04-05,evening,2508,32,800,25.0
739,Bangalore,2024-04-05,evening,2531,17,731,43.0
740,Bangalore,2024-04-05,evening,2629,5,200,40.0
741,Bangalore,2024-04-05,evening,2675,11,726,66.0
742,Bangalore,2024-04-05,evening,2699,10,420,42.0
743,Bangalore,2024-04-05,evening,2809,25,920,36.8
744,Bangalore,2024-04-05,evening,2916,18,573,31.833333333333332
745,Bangalore,2024-04-05,evening,2978,26,806,31.0
746,Bangalore,2024-04-05,evening,3114,15,759,50.6
747,Bangalore,2024-04-05,evening,3119,25,774,30.96
748,Bangalore,2024-04-05,evening,3153,1,27,27.0
749,Bangalore,2024-04-05,evening,3191,39,1170,30.0
750,Bangalore,2024-04-05,evening,3219,16,768,48.0
751,Bangalore,2024-04-05,evening,3687,1,76,76.0
752,Bangalore,2024-04-05,evening,3970,19,722,38.0
753,Bangalore,2024-04-05,evening,4251,5,230,46.0
754,Bangalore,2024-04-05,evening,4268,4,152,38.0
755,Bangalore,2024-04-05,evening,4272,8,304,38.0
756,Bangalore,2024-04-05,evening,4300,8,792,99.0
757,Bangalore,2024-04-05,evening,4307,20,740,37.0
758,Bangalore,2024-04-05,evening,4355,15,720,48.0
759,Bangalore,2024-04-05,evening,4370,25,965,38.6
