pincode,city,delivered_rate
122505,Delhi,40
122506,Delhi,40
123413,Delhi,36
124108,Delhi,36
126102,Jaipur,40
151001,Jaipur,40
201302,Delhi,36
201308,Delhi,36
203207,Delhi,36
332404,Bangalore,40
332411,Bangalore,40
332602,Bangalore,40
332603,Bangalore,40
332715,Bangalore,40
332719,Bangalore,40
400023,Mumbai,40
400036,Mumbai,40
400038,Mumbai,40
400039,Mumbai,40
400040,Mumbai,40
400046,Mumbai,40
400047,Mumbai,40
400048,Mumbai,40
400062,Mumbai,40
400090,Mumbai,40
400605,Mumbai,40
400609,Mumbai,40
400611,Mumbai,40
400612,Mumbai,45
400710,Mumbai,40
401101,Mumbai,40
401104,Mumbai,40
401105,Mumbai,40
401107,Mumbai,40
421302,Mumbai,40
500002,Hyderabad,40
500005,Hyderabad,40
500031,Hyderabad,40
500052,Hyderabad,40
500053,Hyderabad,40
500071,Hyderabad,40
520003,Jaipur,40
560049,Bangalore,40
560060,Bangalore,40
560073,Bangalore,40
560074,Bangalore,40
560082,Bangalore,40
560088,Bangalore,40
560089,Bangalore,40
560090,Bangalore,40
560105,Bangalore,40
560107,Bangalore,40
560300,Bangalore,40
561203,Bangalore,40
561204,Bangalore,40
561205,Bangalore,40
562106,Bangalore,40
562107,Bangalore,40
562110,Bangalore,40
562111,Bangalore,40
562114,Bangalore,40
562122,Bangalore,40
562123,Bangalore,40
562125,Bangalore,40
562129,Bangalore,40
562130,Bangalore,40
562132,Bangalore,40
562135,Bangalore,40
562149,Bangalore,40
562157,Bangalore,40
562162,Bangalore,40
562163,Bangalore,40
562164,Bangalore,40
563127,Bangalore,40
563131,Bangalore,40
563132,Bangalore,40
563136,Bangalore,40
563160,Bangalore,40
759122,Jaipur,40
834001,Jaipur,40
